station_id,easting,northing
FSB_095DR,1383116.57,3876221.89
FSB_097D,1383076.16,3876266.79
FSB_079,1383390.23,3875920.35
FSB_078,1383198.96,3876196.05
FEX_004,1383210.914,3875906.773
FSB_126D,1383261.272,3876013.343
FSB_130D,1383264.637,3875923.874
FSB_135D,1382928.977,3875711.14
FSB_124D,1382951.434,3876025.92
FSB_132D,1383108.224,3875834.619
FSB_128D,1382733.504,3875766.69
FSB_138D,1383153.232,3875722.045
FSB_127D,1383556.989,3876116.472
FSB_091D,1383312.03,3876445.55
FSB_099D,1383072.56,3876453.67
FSB_120D,1382808.06,3876214.78
FSB_108D,1383171.39,3876740.07
FSB_118D,1383484.66,3876379.11
FSB_114D,1383563.39,3876655.28
FPZ_06A,1383393.777,3875752.544
FPZ_08AR,1383567.531,3875893.279
FSP_204A,1383133.996,3875592.787
FPZ_06B,1383393.777,3875752.544
FPZ_04A,1383303.353,3875869.513
FSB_116D,1383678.74,3875777.72